London Markets,London Markets,1,http://www.visitlondon.com/search?keywords=market,,,,Stables Market,Antiques Market,Visit Stables Market for antiques vintage clothes and a variety of other treasures!,http://cdn.londonandpartners.com/asset/3691850bb1e6d72b270a690942ca7d3b.jpg,NW1 8AH,51.541989,-0.14736,528573,184192
London Markets,London Markets,2,http://www.visitlondon.com/search?keywords=market,,,,Borough Market,Food Market,Borough Market's gourmet food market consists of up to 70 stalls selling fish meats vegetables ciders cheeses breads coffees cakes and patisseries.,http://cdn.londonandpartners.com/asset/e0e57a79ed88f8f5ede10b2a9aee8af0.jpg,SE1 9DE,51.506512,-0.090626,532610,180348
London Markets,London Markets,3,http://www.visitlondon.com/search?keywords=market,,,,Partridges Food Market,Food Market,Partridges Food Market consists of 70 diverse stalls that sell everything from cakes to speciality breads cheese to pies.,http://cdn.londonandpartners.com/asset/b67e870d4efa2b68cd4fe2c677f5fab3.jpg,SW3 4LU,51.492318,-0.158947,527908,178648
London Markets,London Markets,4,http://www.visitlondon.com/search?keywords=market,,,,Southbank Centre Christmas Market,Special Event,The Southbank Centre Christmas Market features 80 traditionally decorated wooden chalets selling a wide range of unique hand-crafted gifts unusual Christmas presents food and drink.,http://cdn.londonandpartners.com/asset/067ea03a9c965babc3f444871b556db5.jpg,SE1 8XX,51.505776,-0.116825,530794,180219
London Markets,London Markets,5,http://www.visitlondon.com/search?keywords=market,,,,Brick Lane Market,Street Market,Brick Lane Market is a large flea market with stalls selling antiques clothes bric-a-brack and all sorts of other weird and wonderful things.,http://cdn.londonandpartners.com/asset/aa132db1b7a6466c616f9e9b7172087c.jpg,E1 5HA,51.521017,-0.070268,533980,181998
London Markets,London Markets,6,http://www.visitlondon.com/search?keywords=market,,,,Covent Garden Market,Craft Market,Covent Garden's pretty 19th-century Piazza is home to three bustling markets that sell everything from handbags to crafts.,http://cdn.londonandpartners.com/asset/c8a10bc80b3ff34df0378e2fbc6bd0d1.jpg,WC2E 8RF,51.512061,-0.122965,530350,180907
London Markets,London Markets,7,http://www.visitlondon.com/search?keywords=market,,,,Camden Lock Market,Street Market,Camden Lock Market comprises stalls and shops selling everything from vintage clothing to hand-made jewellery and artwork to gifts music and more.,http://cdn.londonandpartners.com/asset/79ad5976244da4144527afac0a6bddd7.jpg,NW1 8AF,51.541006,-0.146592,528629,184084
London Markets,London Markets,8,http://www.visitlondon.com/search?keywords=market,,,,Portobello Road Market and Golborne Road Market,Antiques Market,Famous street market with stalls offering everything from fruit and bread to posters vintage clothes ceramics and music.,http://cdn.londonandpartners.com/asset/3a6ae530660335ce766acca07e90eb2d.jpg,W11 1AN,51.518429,-0.20636,524546,181470
London Markets,London Markets,9,http://www.visitlondon.com/search?keywords=market,,,,Shepherds Market at Broadgate,Food Market,Shepherds Market offers tasty authentic artisan cuisine.,http://cdn.londonandpartners.com/visit/generic/categories/145-holder-shopping.png,EC2A 2HS,51.520325,-0.080708,533258,181902
London Markets,London Markets,10,http://www.visitlondon.com/search?keywords=market,,,,Leadenhall Market,Food Market,Leadenhall Market is a beautiful covered market in the City of London. Under the elegant Victorian roof there are stalls restaurantsshops and pubs to enjoy.,http://cdn.londonandpartners.com/asset/3fadb17bd9a3e39efb5a0623d197f6ca.jpg,EC3V 1LR,51.51268,-0.083393,533094,181047
London Markets,London Markets,11,http://www.visitlondon.com/search?keywords=market,,,,Southbank Book Market,Street Market,Browse for second hand books under Waterloo Bridge,http://cdn.londonandpartners.com/asset/38d8e3adf2362ea0c47f65e8cf7f29d3.jpg,SE1 7GA,51.501597,-0.117574,530754,179753
London Markets,London Markets,12,http://www.visitlondon.com/search?keywords=market,,,,Columbia Road Market,Street Market,Columbia Road Market is London's principal flower market devoted to selling plants flowers garden fittings and gardening equipment.,http://cdn.londonandpartners.com/asset/8bc871ca800cd43d70a60a0814fbc0af.jpg,E2 7RG,51.529413,-0.069556,534005,182933
London Markets,London Markets,13,http://www.visitlondon.com/search?keywords=market,,,,Del Mercato,Italian Restaurant,Del Mercato is an Italian piazza in the heart of Borough Market. With an espresso bar pizzeria bakery and restaurant Del Mercato is the perfect spot for a break from work and a coffee with your friends and colleagues.,http://cdn.londonandpartners.com/visit/generic/categories/145-holder-food-drink.png,SE1 9BU,51.506969,-0.092711,532464,180395
London Markets,London Markets,14,http://www.visitlondon.com/search?keywords=market,,,,Fish Market,Seafood,The Fish Market is a relaxed venue for guests to enjoy a taste of the best of the British seaside. Serving lunch and dinner Monday to Friday.,http://cdn.londonandpartners.com/asset/231f5c47d8fb810f0bfc90763a16a100.jpg,EC2M 4TR,51.517108,-0.079777,533332,181546
London Markets,London Markets,15,http://www.visitlondon.com/search?keywords=market,,,,Alfies Christmas Shopping Party at Alfies Antique Market,Antiques Market,Alfies Antique Market is opening for after-hours Christmas shopping from 5-9pm on Thursday 12 December.,http://cdn.londonandpartners.com/asset/03321af55caf88b266e9996955c33576.jpg,NW8 8DT,51.524073,-0.168917,527128,182162
